Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,7.165,3.716,2.882,2.896,2.913,2.93,2.939,2.937,2.92,2.888,2.842,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,6.164,5.037,3.88,3.816,3.759,3.708,3.66,3.612,3.562,3.51,3.454,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,2.84,1.83,..,2.23,..,..,2.21,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,3.057,2.744,2.613,2.601,2.584,2.564,2.54,2.514,2.487,2.461,2.437,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,4.802,4.525,3.926,3.869,3.812,3.758,3.707,3.657,3.61,3.564,3.52,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,4.547,3.553,2.675,2.625,2.581,2.542,2.508,2.479,2.453,2.429,2.405,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,3.912,2.845,2.493,2.441,2.394,2.355,2.323,2.297,2.275,2.254,2.233,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,4.32,3.811,3.121,3.055,2.979,2.894,2.805,2.718,2.64,2.576,2.526,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,2.06,1.37,1.33,1.33,1.29,1.32,1.32,1.39,1.48,1.46,1.42,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.56,1.55,1.35,1.28,1.21,1.23,1.31,1.36,1.38,1.42,1.42,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,2.219,2.0485,1.5965,1.5425,1.47,1.432,1.3365,1.2425,1.101,1.035,1.035,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Qatar,QAT,4.013,3.236,2.027,1.997,1.972,1.95,1.929,1.907,1.886,1.866,1.846,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Romania,ROU,1.83,1.31,1.47,1.52,1.46,1.56,1.62,1.69,1.71,1.76,1.76,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Russian Federation,RUS,1.892,1.195,1.582,1.691,1.707,1.75,1.777,1.762,1.621,1.579,1.504,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Rwanda,RWA,7.184,5.64,4.412,4.322,4.251,4.197,4.157,4.123,4.088,4.044,3.99,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Samoa,WSM,5.118,4.503,4.277,4.212,4.147,4.086,4.029,3.976,3.926,3.877,3.83,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,San Marino,SMR,..,..,..,1.26,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sao Tome and Principe,STP,5.828,5.176,4.677,4.627,4.577,4.527,4.477,4.426,4.374,4.321,4.267,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Saudi Arabia,SAU,5.911,3.971,2.871,2.773,2.678,2.589,2.507,2.435,2.373,2.319,2.275,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Senegal,SEN,6.448,5.448,5.039,5.005,4.96,4.905,4.841,4.77,4.697,4.625,4.556,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Serbia,SRB,..,1.48,1.4,1.45,1.43,1.46,1.46,1.46,1.49,1.49,1.52,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Seychelles,SYC,..,2.08,2.33,2.37,2.26,2.25,2.31,2.39,2.41,2.41,2.34,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sierra Leone,SLE,6.721,6.319,5.06,4.923,4.793,4.672,4.561,4.457,4.359,4.263,4.169,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Singapore,SGP,1.83,1.6,1.2,1.29,1.19,1.25,1.24,1.2,1.16,1.14,1.14,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sint Maarten (Dutch part),SXM,..,..,2.03,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovak Republic,SVK,2.09,1.3,1.45,1.34,1.34,1.37,1.4,1.48,1.52,1.54,1.56,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovenia,SVN,1.46,1.26,1.56,1.58,1.55,1.58,1.57,1.58,1.62,1.61,1.61,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Solomon Islands,SLB,5.851,4.719,4.413,4.428,4.443,4.455,4.459,4.452,4.434,4.403,4.361,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Somalia,SOM,7.398,7.627,6.765,6.664,6.563,6.462,6.363,6.265,6.168,6.072,5.978,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Africa,ZAF,3.964,2.694,2.582,2.561,2.537,2.511,2.484,2.457,2.43,2.405,2.381,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Sudan,SSD,6.761,6.223,5.286,5.197,5.108,5.022,4.937,4.855,4.775,4.696,4.619,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Spain,ESP,1.36,1.22,1.34,1.32,1.27,1.32,1.33,1.34,1.31,1.26,1.24,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sri Lanka,LKA,2.483,2.24,2.237,2.227,2.22,2.216,2.213,2.211,2.206,2.199,2.188,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Lucia,LCA,3.399,2.202,1.522,1.508,1.496,1.485,1.473,1.461,1.448,1.436,1.424,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Martin (French part),MAF,2.12,1.83,1.82,1.82,1.81,1.81,1.81,1.81,1.81,1.81,1.81,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Vincent and the Grenadines,VCT,2.956,2.379,2.046,2.021,1.998,1.975,1.953,1.931,1.911,1.891,1.872,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sudan,SDN,6.152,5.471,4.824,4.771,4.715,4.656,4.594,4.532,4.469,4.407,4.347,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Suriname,SUR,3.267,2.895,2.587,2.565,2.543,2.519,2.494,2.469,2.443,2.418,2.394,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sweden,SWE,2.13,1.54,1.9,1.91,1.89,1.88,1.85,1.85,1.78,1.76,1.7,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Switzerland,CHE,1.58,1.5,1.52,1.52,1.52,1.54,1.54,1.54,1.52,1.52,1.48,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Syrian Arab Republic,SYR,5.309,4.076,3.29,3.181,3.085,3.005,2.94,2.889,2.847,2.808,2.771,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,5.225,3.967,3.603,3.608,3.615,3.621,3.623,3.618,3.606,3.585,3.556,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tanzania,TZA,6.213,5.689,5.358,5.287,5.215,5.146,5.079,5.015,4.953,4.892,4.832,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,2.113,1.671,1.539,1.538,1.538,1.538,1.538,1.537,1.532,1.525,1.514,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Timor-Leste,TLS,5.478,6.113,4.637,4.497,4.383,4.292,4.219,4.156,4.093,4.023,3.943,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Togo,TGO,6.185,5.419,4.798,4.727,4.656,4.585,4.516,4.449,4.384,4.32,4.259,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tonga,TON,4.644,4.25,3.864,3.815,3.768,3.722,3.678,3.636,3.595,3.556,3.518,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Trinidad and Tobago,TTO,2.453,1.753,1.804,1.799,1.79,1.78,1.767,1.753,1.739,1.725,1.711,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,3.476,2.142,2.182,2.216,2.24,2.252,2.251,2.238,2.219,2.197,2.174,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkey,TUR,3.107,2.503,2.137,2.126,2.117,2.109,2.101,2.092,2.081,2.069,2.055,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,4.344,2.824,2.892,2.936,2.958,2.956,2.93,2.887,2.836,2.786,2.74,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uganda,UGA,7.091,6.866,5.983,5.845,5.699,5.547,5.394,5.242,5.095,4.955,4.824,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.85,1.116,1.459,1.531,1.506,1.498,1.506,1.466,1.374,1.301,1.228,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Arab Emirates,ARE,4.454,2.644,1.763,1.708,1.651,1.595,1.541,1.491,1.448,1.413,1.387,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.83,1.64,1.91,1.92,1.83,1.81,1.8,1.79,1.74,1.68,1.65,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United States,USA,2.081,2.056,1.8945,1.8805,1.8575,1.8625,1.8435,1.8205,1.7655,1.7295,1.705,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uruguay,URY,2.52,2.237,2.008,2.006,2.004,2.002,1.997,1.991,1.983,1.973,1.963,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,4.072,2.58,2.236,2.193,2.35,2.457,2.491,2.455,2.419,2.604,2.785,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vanuatu,VUT,4.926,4.492,4.06,4.019,3.979,3.939,3.898,3.859,3.82,3.782,3.744,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Venezuela, RB",VEN,3.448,2.822,2.444,2.417,2.39,2.365,2.34,2.317,2.294,2.272,2.25,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vietnam,VNM,3.553,2.01,1.949,1.962,1.978,1.996,2.014,2.03,2.042,2.049,2.05,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Virgin Islands (U.S.),VIR,2.954,2.06,2.16,2.06,2.08,2.09,2.11,2.09,2.08,2.06,2.05,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,West Bank and Gaza,PSE,6.718,5.383,4.36,4.272,4.174,4.067,3.955,3.844,3.738,3.643,3.56,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,8.606,6.313,4.554,4.439,4.326,4.214,4.103,3.994,3.89,3.792,3.7,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zambia,ZMB,6.442,6.036,5.328,5.233,5.132,5.026,4.918,4.814,4.718,4.633,4.559,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zimbabwe,ZWE,4.862,3.748,4.059,4.058,4.03,3.974,3.896,3.804,3.707,3.615,3.531,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,6.234900963,5.573420635,4.956841766,4.882058153,4.804515752,4.726220442,4.64763738,4.569674667,4.493744221,4.420263916,4.349432929,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,6.51814633,6.031044128,5.557871828,5.503781351,5.446144031,5.384335894,5.319473417,5.25167419,5.182391075,5.113002617,5.044144414,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,5.186831401,3.84571251,3.463102289,3.450660912,3.430476955,3.402070429,3.365221112,3.322437279,3.276487463,3.231001101,3.187157135,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2.865765744,2.438238301,2.129432977,2.106451911,2.084479997,2.064268347,2.045249014,2.027645026,2.010754406,1.995134386,1.979904065,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,1.931081933,1.317743134,1.393421234,1.416114693,1.387969817,1.443181764,1.462370024,1.52216388,1.567830318,1.574609117,1.555124878,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Early-demographic dividend,EAR,4.22514377,3.34278177,2.723512928,2.679459005,2.640801964,2.605271338,2.57249804,2.54152111,2.512916991,2.487735418,2.462958375,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific,EAS,2.471930075,1.850909074,1.822639485,1.82871585,1.825113599,1.827716037,1.831082122,1.829611451,1.825950046,1.823002567,1.818009682,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (excluding high income),EAP,2.587220249,1.896443698,1.869387133,1.870698417,1.872174974,1.873666127,1.874993238,1.876300522,1.876525375,1.87654541,1.876180147,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (IDA & IBRD countries),TEA,2.591306309,1.89527343,1.8685869,1.869947638,1.871463197,1.873006954,1.874398658,1.875784544,1.876087811,1.876196697,1.87592836,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Euro area,EMU,1.534250686,1.470893408,1.562092386,1.554409723,1.530457453,1.551378771,1.549776601,1.568999803,1.54553219,1.52586341,1.5068249,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia,ECS,1.957916026,1.556973744,1.71355242,1.740001368,1.730147218,1.757278182,1.764941815,1.771862815,1.730344181,1.720081806,1.702030521,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (excluding high income),ECA,2.343325171,1.642928353,1.849677002,1.90492797,1.920076926,1.957175117,1.974869355,1.965398903,1.896160698,1.8986575,1.885470114,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (IDA & IBRD countries),TEC,2.309023588,1.616528029,1.803675222,1.855056884,1.865255452,1.90166198,1.917680091,1.915026076,1.859230135,1.860576745,1.845627185,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,European Union,EUU,1.63480306,1.441287138,1.53287264,1.533364782,1.507338111,1.535283315,1.537339584,1.56624109,1.557526437,1.543591745,1.522678818,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fragile and conflict affected situations,FCS,5.971593619,5.440525612,4.890253238,4.833734073,4.77454388,4.713666049,4.651095085,4.588039489,4.524087129,4.462581811,4.402550315,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Heavily indebted poor countries (HIPC),HPC,6.589262806,6.068086253,5.285050038,5.201425143,5.116632629,5.031545603,4.946646161,4.862333729,4.779580025,4.698653193,4.619824846,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,High income,HIC,1.848904878,1.706457339,1.684553009,1.690320288,1.656464362,1.666083339,1.662055596,1.65606245,1.622001168,1.594571168,1.56538702,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IBRD only,IBD,3.076891204,2.3572151,2.138513475,2.129095242,2.116217547,2.107517731,2.099021297,2.090701058,2.077858169,2.068214811,2.057272886,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA & IBRD total,IBT,3.578270657,2.88983105,2.636453057,2.622957021,2.60793061,2.596361555,2.584751909,2.572494186,2.557067947,2.546012168,2.533810086,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA blend,IDB,6.016782951,5.179936509,4.486206996,4.429409554,4.387510666,4.341727853,4.290543309,4.233250267,4.175809101,4.133548149,4.090236487,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA only,IDX,5.859827749,5.086994071,4.326908231,4.264039895,4.201582313,4.142182479,4.083804296,4.025303781,3.968618124,3.915851532,3.862692579,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA total,IDA,5.911590182,5.117750793,4.379963699,4.319107768,4.26348575,4.208603989,4.152594635,4.094439042,4.037441174,3.988099302,3.93814382,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Late-demographic dividend,LTE,2.427033288,1.721373751,1.708232926,1.719667625,1.723706717,1.733762146,1.740648522,1.746281385,1.741461196,1.742586665,1.739234048,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latin America & Caribbean,LCN,3.257018126,2.626889936,2.162608889,2.141893059,2.122330406,2.103293852,2.084449869,2.065415396,2.046014562,2.027393063,2.009043405,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latin America & Caribbean (excluding high income),LAC,3.291083705,2.646440072,2.162882822,2.142294689,2.123358131,2.104911551,2.087178618,2.069338771,2.051288386,2.033279978,2.015209743,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,3.31047149,2.655332974,2.175727613,2.15419004,2.134141471,2.114593147,2.095698423,2.07667149,2.057454707,2.03849405,2.019710483,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Least developed countries: UN classification,LDC,5.94348509,5.203247058,4.436572675,4.370031888,4.30463366,4.240705879,4.178474016,4.116936121,4.057503927,4.000083018,3.944640221,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Low & middle income,LMY,3.588069094,2.900618391,2.645229772,2.631614792,2.61681325,2.605025308,2.593386727,2.580655601,2.564631701,2.553585403,2.541512584,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Low income,LIC,6.484299925,6.037280158,5.230194866,5.146339954,5.06281616,4.979711912,4.896999399,4.814493334,4.733223899,4.652688841,4.573092299,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lower middle income,LMC,4.312778716,3.456115326,2.925109569,2.887179444,2.852635088,2.821366593,2.792576888,2.764190168,2.737416586,2.715147346,2.692764694,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa,MEA,4.877631427,3.193506282,2.904100151,2.910689566,2.910271737,2.904218815,2.889411919,2.866927113,2.839227044,2.808926001,2.776055761,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa (excluding high income),MNA,4.874590723,3.153754094,2.938915991,2.955702988,2.966198483,2.968153039,2.96005395,2.941380784,2.916047761,2.887130734,2.855671334,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa (IDA & IBRD countries),TMN,4.858933763,3.133569351,2.924159374,2.941806088,2.953237751,2.95617679,2.949051429,2.931256676,2.906722711,2.878414147,2.847422479,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle income,MIC,3.393584118,2.672258147,2.418807104,2.406757621,2.393402527,2.383282251,2.373274538,2.362250523,2.347512674,2.338162556,2.327615796,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North America,NAC,2.055205556,1.998927144,1.865643789,1.853503675,1.830094372,1.834102202,1.815224852,1.79253374,1.738253709,1.70603799,1.680782509,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,OECD members,OED,2.013754004,1.833317624,1.774778984,1.773019641,1.748171786,1.752088939,1.747524039,1.740842688,1.71133883,1.687083556,1.659948614,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Other small states,OSS,4.390490289,3.638494837,3.224035874,3.200016567,3.17090406,3.151712557,3.127289677,3.105066838,3.077738754,3.049681165,3.016148408,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pacific island small states,PSS,4.360237044,3.861957269,3.569497723,3.570464227,3.572301286,3.571814718,3.5672095,3.555351395,3.538085473,3.515224275,3.486783564,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Post-demographic dividend,PST,1.749369568,1.6156022,1.644615674,1.652342226,1.624195236,1.633141458,1.631693718,1.623379255,1.581196051,1.551770255,1.520277129,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pre-demographic dividend,PRE,6.573277669,6.106330731,5.518147846,5.440308909,5.358875441,5.274782815,5.189378444,5.104322103,5.020796807,4.939727981,4.86171988,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Small states,SST,4.007699238,3.374666489,3.017935565,2.997772134,2.97406958,2.957865258,2.937830155,2.919377352,2.896973062,2.874004338,2.846751983,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Asia,SAS,4.299897299,3.507214778,2.674778476,2.611199416,2.555691383,2.50876728,2.470078825,2.438060907,2.410616673,2.384748211,2.359412714,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Asia (IDA & IBRD),TSA,4.299897299,3.507214778,2.674778476,2.611199416,2.555691383,2.50876728,2.470078825,2.438060907,2.410616673,2.384748211,2.359412714,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa,SSF,6.347729984,5.755293083,5.195218032,5.12831823,5.05832721,4.986266375,4.912890459,4.838661209,4.765176902,4.693213128,4.623103488,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa (excluding high income),SSA,6.347729984,5.755829932,5.195533866,5.128613076,5.058619628,4.986544792,4.913149841,4.838898282,4.765397884,4.69342017,4.623303519,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,6.347729984,5.755293083,5.195218032,5.12831823,5.05832721,4.986266375,4.912890459,4.838661209,4.765176902,4.693213128,4.623103488,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Upper middle income,UMC,2.540268496,1.869460668,1.823795769,1.833162585,1.836019169,1.842398056,1.846214843,1.847655379,1.838893686,1.836630051,1.831871526,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,World,WLD,3.248548804,2.69616442,2.498720142,2.489335625,2.472960087,2.465561107,2.45622884,2.445609055,2.428188422,2.415986343,2.402706848,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,
